Venue_Name,Discipline_Code
Aquatics Centre,artistic-swimming
Aquatics Centre,diving
Aquatics Centre,water-polo
Paris La Defense Arena,swimming
Paris La Defense Arena,water-polo
Pont Alexandre III,marathon-swimming
"Teahupo'o, Tahiti",surfing
